Brand,Title,Price,Rating,maximum_display_resolution,Memory,Screen,Model
Apple,"2021 Apple 12.9-inch iPad Pro (Wi‑Fi, 512GB) - Space Gray (Renewed)",N/A,4.3 out of 5 stars,2732-by-2048-pixel resolution at 264 pixels per inch (ppi),512 GB,12.9 Inches,iPad Pro
Apple,"Apple AirPods Max Wireless Over-Ear Headphones, Active Noise Cancelling, Transparency Mode, Personalized Spatial Audio, Dolby Atmos, Bluetooth Headphones for iPhone – Sky Blue",N/A,4.6 out of 5 stars,N/A,N/A,N/A,N/A
SAMSUNG,"Samsung Galaxy Tab S9 FE+ Plus 12.4” 128GB Android Tablet, Long Battery Life, Powerful Processor, S Pen, 8MP Camera, Lightweight Durable Design, Expandable Storage, US Version, 2023, Gray",$320.22,4.6 out of 5 stars,2560 x 1600 (WQXGA),8 GB,12.4,Tab S9 FE+
Soke,"Soke Case for iPad 10th Generation 10.9-inch 2022, with Built-in Screen Protector and Kickstand, Rugged Full Body Protective Cover for New Apple iPad 10.9 Inch - Violet",$19.99,4.3 out of 5 stars,N/A,N/A,N/A,N/A
Apple,"Apple iPad 9.7in 6th Generation WiFi + Cellular (32GB, Gold) (Renewed)",$148.36,4.4 out of 5 stars,2048 x 1536,32 GB,9.7 Inches,N/A
SAMSUNG,"SAMSUNG Galaxy Tab S9 11” 256GB WiFi 7 Android AI Tablet, Snapdragon 8 Gen 2 Processor, AMOLED Screen, Durable Design S Pen Included, Long Battery Life, Auto Focus Camera, US Version, 2023, Beige",$919.00,4.6 out of 5 stars,2560 x 1600 pixels,256 GB,11 Inches,S9
SEYMAC,"SEYMAC Case for iPad 9th/8th/7th Generation Case, iPad 10.2 Case, Sturdy Heavy Duty Shockproof Protection Folio Stand Case with Smart Cover Auto Sleep/Wake for iPad 10.2 Inch, Black",$18.74,4.6 out of 5 stars,N/A,N/A,N/A,N/A
SAMSUNG,"Samsung Galaxy Tab S9 FE+ Plus 12.4” 128GB Android Tablet, Long Battery Life, Powerful Processor, S Pen, 8MP Camera, Lightweight Durable Design, Expandable Storage, US Version, 2023, Gray",$320.22,4.6 out of 5 stars,2560 x 1600 (WQXGA),8 GB,12.4,Tab S9 FE+
Apple,"Apple iPad 9.7in 6th Generation WiFi + Cellular (32GB, Gold) (Renewed)",$148.36,4.4 out of 5 stars,2048 x 1536,32 GB,9.7 Inches,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Google,"Google Pixel Tablet with Charging Speaker Dock - Android Tablet with 11-Inch Screen, Smart Home Controls, and Long-Lasting Battery - Porcelain/Porcelain - 128 GB",$347.30,4.5 out of 5 stars,2560x1600 Pixels,128 GB,11 Inches,Pixel Tablet and Pixel Tablet Speaker Dock
Apple,Apple iPad Air 2 MH2M2LL/A 64GB Wifi + Cellular Unlocked 9.7in Space Gray (Renewed),$129.00,4.1 out of 5 stars,2048 x 1536,64 GB,9.7 Inches,iPad Air 2
N/A,"Kids Tablet 7 Inch Tablet for Kids 32GB Toddler Tablet Kids Software Installed, Kids Learning Android Tablet with WiFi YouTube Parental Control for Toddlers Boys Girls Childrens Tablet",$39.99,4.1 out of 5 stars,N/A,N/A,N/A,N/A
Apple,"Apple 2021 12.9-inch iPad Pro (Wi-Fi, 1TB) - Silver with AppleCare+ (Renews Monthly Until Cancelled)","$1,806.99",4.8 out of 5 stars,N/A,1 TB,12.9 Inches,N/A
Apple,Apple iPad Air 2 9.7in 64GB Cellular Unlocked + WiFi Tablet - Space Gray / Black - MH2M2LLAUS-cr (Renewed),$159.00,4.3 out of 5 stars,2048 x 1536,64 GB,9.7 Inches,iPad Air 2
SAMSUNG,"SAMSUNG Galaxy Tab S9 11” 256GB WiFi 7 Android AI Tablet, Snapdragon 8 Gen 2 Processor, AMOLED Screen, Durable Design S Pen Included, Long Battery Life, Auto Focus Camera, US Version, 2023, Beige",$919.00,4.6 out of 5 stars,2560 x 1600 pixels,256 GB,11 Inches,S9
SAMSUNG,"SAMSUNG Galaxy Tab S6 Lite 10.4"" 64GB WiFi Android Tablet w/ S Pen Included, Slim Metal Design, Crystal Clear Display, Dual Speakers, Long Lasting Battery, SM-P610NZAAXAR, Oxford Gray",$264.12,4.7 out of 5 stars,2000 x 1200,64 GB,10.4,Samsung Galaxy Tab S6 Lite WiFi
Apple,"iPad Pro 9.7-inch (32GB, Wi-Fi + Cellular, Rose Gold) 2016 Model (Renewed)",$144.00,4.7 out of 5 stars,2048x1536,32 GB,9.7 Inches,MLPX2LL/A
Apple,"iPad Pro 9.7-inch (128GB, Wi-Fi + Cellular, Gold) 2016 Model (Renewed)",$164.01,4.0 out of 5 stars,2048x1536,128 GB,9.7 Inches,MLPX2LL/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ApoloMedia,"Android 13 Tablet, 10.1"" HD Screen, 2024 Update Octa-Core Processor with 8(4+4) GB&64GB Storage(Expandable Memory to 128GB), WiFi6 & Bth5.0, 5000 mAh Battery, GMS Certified(Gray).",N/A,5.0 out of 5 stars,‎1280 x 800 Pixels,64 GB,10.1 Inches,EP103A
Viozon,"Viozon Tablet Floor Tripod Stand-67'' Tripod with Tablet Holder/Phone Holder, Angle&Height Adjustable Aluminum Tripod for Video Recording Photos Vlog Compatible with3.5-13'' Tablet, iPad Pro,iPhone 15",N/A,4.6 out of 5 stars,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ADULLO,"for iPad 10 (10th Generation) Screen Replacement Touch Glass Digitizer,for iPad 10th Gen 10.9 Inch A2696 A2757 A2777 with Adhesive+Screen Protector+Professional Tool Kit.",N/A,4.4 out of 5 stars,N/A,N/A,10.9 Inches,N/A
typecase,"typecase Edge Keyboard for iPad 10th Generation (10.9"", 2022) - 11 Colors Backlit, Thin, Multi-Touch Trackpad, BT, Magnetic Clasp Keyboard Case for iPad 10th Gen 10.9 - Space Black",N/A,4.4 out of 5 stars,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,"Bling Rhinestone Case Compatible with iPad Air 11 Inch M2 2024, iPad Air 6th Gen/iPad Air 5th Gen 2022/ iPad Air 4th Gen 2020 10.9 Inch - Glitter Sparkle Fashion Luxury Shiny Crystal Shell",$30.99,5.0 out of 5 stars,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Knild,USB C Fast Charger Block 300W: 7 Port USB Charging Station Hub Brick - Dual PPS PD 100W Laptop Wall Charger Power Adapter for Macbook Pro DELL HP Surface iPad iPhone Samsung Galaxy Android,$75.99,4.5 out of 5 stars,N/A,N/A,N/A,N/A
CC Store,"CC Store iPad 10th Generation Case Clear,iPad 10 Case 2022,10.9 Inch iPad Case 10th Gen, Transparent Shockproof Soft TPU Protective Case (Clear)",N/A,4.5 out of 5 stars,N/A,N/A,N/A,N/A
Mount-It!,"Mount-It! Anti-Theft Tablet Kiosk Wall Mount Compatible with iPad 10, 9, 8, iPad Pro 10.5, iPad Air 10.5, Locking Kiosk for iPad, Steel Full Motion Wall Mounted Kiosk, Black",N/A,1.0 out of 5 stars,N/A,N/A,N/A,N/A
Viozon,"Viozon Tablet Floor Tripod Stand-67'' Tripod with Tablet Holder/Phone Holder, Angle&Height Adjustable Aluminum Tripod for Video Recording Photos Vlog Compatible with3.5-13'' Tablet, iPad Pro,iPhone 15",N/A,4.6 out of 5 stars,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
